2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,crops_category
0,0,0,0,0,0,0,0,15,32,24,8,16,26,8,20,15,33,28,23,barley
1,1,1,1,0,1,1,2,124,162,153,115,92,140,92,111,160,111,113,63,corn_maize
0,0,0,0,0,0,0,0,5,2,4,0,3,2,4,3,3,3,3,2,millet
0,0,0,0,0,0,0,0,3,15,5,10,5,13,0,9,7,13,16,12,oat
0,0,0,0,0,0,0,0,39,77,60,44,42,74,27,48,44,60,60,62,legume_nuts_no_peanuts
0,0,0,1,1,0,2,2,56,88,68,40,43,82,34,60,50,69,76,53,legume_peanuts
0,0,0,0,1,0,2,1,52,77,56,33,34,75,25,49,38,55,61,37,legume_other
1,0,0,0,0,1,0,1,38,43,34,24,20,46,23,29,35,24,30,20,potato
0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,2,1,4,0,quinoa
0,0,1,1,4,0,0,0,93,101,107,86,76,97,69,83,87,63,76,16,rice
0,0,0,0,1,0,0,0,1,9,5,11,4,4,6,3,4,3,5,6,rye
0,0,0,0,0,0,0,1,15,15,33,11,17,26,14,24,16,30,35,27,sorghum
0,0,2,2,0,0,3,2,80,77,104,63,53,79,52,68,53,69,68,56,soybean
0,0,0,0,0,0,0,0,53,82,68,43,45,73,25,58,60,65,65,48,wheat
2,1,4,5,8,2,10,10,603,813,741,506,458,760,394,588,587,621,661,418,all_category
